PC  | CMD  | XYZ | P   | R0  | R1  | R2  | R3  | ZCNO
-----------------------------------------------------
000 | LDC  | 000 | 001 | 001 | 000 | 000 | 000 | FFFF
002 | JMP  | 000 | 009 | 001 | 000 | 000 | 000 | FFFF
009 | NOP  | 000 | --- | 001 | 000 | 000 | 000 | FFFF
00A | LDC  | 100 | FFF | 001 | FFF | 000 | 000 | FFTF
00C | REA  | 110 | --- | 001 | 001 | 000 | 000 | FFFF
00D | JZ   | 000 | 031 | 001 | 001 | 000 | 000 | FFFF
00F | JC   | 000 | 031 | 001 | 001 | 000 | 000 | FFFF
011 | JN   | 000 | 031 | 001 | 001 | 000 | 000 | FFFF
013 | JO   | 000 | 031 | 001 | 001 | 000 | 000 | FFFF
015 | LDC  | 200 | 001 | 001 | 001 | 001 | 000 | FFFF
017 | AND  | 112 | --- | 001 | 001 | 001 | 000 | FFFF
018 | JZ   | 000 | 031 | 001 | 001 | 001 | 000 | FFFF
01A | JMP  | 000 | 004 | 001 | 001 | 001 | 000 | FFFF
004 | JMP  | 000 | 01C | 001 | 001 | 001 | 000 | FFFF
01C | LDC  | 100 | 000 | 001 | 000 | 001 | 000 | TFFF
01E | LDC  | 300 | 001 | 001 | 000 | 001 | 001 | FFFF
020 | REA  | 210 | --- | 001 | 000 | 000 | 001 | TFFF
021 | JNZ  | 000 | 031 | 001 | 000 | 000 | 001 | TFFF
023 | JC   | 000 | 031 | 001 | 000 | 000 | 001 | TFFF
025 | JN   | 000 | 031 | 001 | 000 | 000 | 001 | TFFF
027 | JO   | 000 | 031 | 001 | 000 | 000 | 001 | TFFF
029 | ADD  | 113 | --- | 001 | 001 | 000 | 001 | FFFF
02A | ADD  | 213 | --- | 001 | 001 | 002 | 001 | FFFF
02B | JZ   | 000 | 02F | 001 | 001 | 002 | 001 | FFFF
02D | JMP  | 000 | 020 | 001 | 001 | 002 | 001 | FFFF
020 | REA  | 210 | --- | 001 | 001 | 000 | 001 | TFFF
021 | JNZ  | 000 | 031 | 001 | 001 | 000 | 001 | TFFF
023 | JC   | 000 | 031 | 001 | 001 | 000 | 001 | TFFF
025 | JN   | 000 | 031 | 001 | 001 | 000 | 001 | TFFF
027 | JO   | 000 | 031 | 001 | 001 | 000 | 001 | TFFF
029 | ADD  | 113 | --- | 001 | 002 | 000 | 001 | FFFF
02A | ADD  | 213 | --- | 001 | 002 | 003 | 001 | FFFF
02B | JZ   | 000 | 02F | 001 | 002 | 003 | 001 | FFFF
02D | JMP  | 000 | 020 | 001 | 002 | 003 | 001 | FFFF
020 | REA  | 210 | --- | 001 | 002 | 000 | 001 | TFFF
021 | JNZ  | 000 | 031 | 001 | 002 | 000 | 001 | TFFF
023 | JC   | 000 | 031 | 001 | 002 | 000 | 001 | TFFF
025 | JN   | 000 | 031 | 001 | 002 | 000 | 001 | TFFF
027 | JO   | 000 | 031 | 001 | 002 | 000 | 001 | TFFF
029 | ADD  | 113 | --- | 001 | 003 | 000 | 001 | FFFF
02A | ADD  | 213 | --- | 001 | 003 | 004 | 001 | FFFF
02B | JZ   | 000 | 02F | 001 | 003 | 004 | 001 | FFFF
02D | JMP  | 000 | 020 | 001 | 003 | 004 | 001 | FFFF
020 | REA  | 210 | --- | 001 | 003 | 000 | 001 | TFFF
021 | JNZ  | 000 | 031 | 001 | 003 | 000 | 001 | TFFF
023 | JC   | 000 | 031 | 001 | 003 | 000 | 001 | TFFF
025 | JN   | 000 | 031 | 001 | 003 | 000 | 001 | TFFF
027 | JO   | 000 | 031 | 001 | 003 | 000 | 001 | TFFF
029 | ADD  | 113 | --- | 001 | 004 | 000 | 001 | FFFF
02A | ADD  | 213 | --- | 001 | 004 | 005 | 001 | FFFF
02B | JZ   | 000 | 02F | 001 | 004 | 005 | 001 | FFFF
02D | JMP  | 000 | 020 | 001 | 004 | 005 | 001 | FFFF
020 | REA  | 210 | --- | 001 | 004 | 000 | 001 | TFFF
021 | JNZ  | 000 | 031 | 001 | 004 | 000 | 001 | TFFF
023 | JC   | 000 | 031 | 001 | 004 | 000 | 001 | TFFF
025 | JN   | 000 | 031 | 001 | 004 | 000 | 001 | TFFF
027 | JO   | 000 | 031 | 001 | 004 | 000 | 001 | TFFF
029 | ADD  | 113 | --- | 001 | 005 | 000 | 001 | FFFF
02A | ADD  | 213 | --- | 001 | 005 | 006 | 001 | FFFF
02B | JZ   | 000 | 02F | 001 | 005 | 006 | 001 | FFFF
02D | JMP  | 000 | 020 | 001 | 005 | 006 | 001 | FFFF
020 | REA  | 210 | --- | 001 | 005 | 000 | 001 | TFFF
021 | JNZ  | 000 | 031 | 001 | 005 | 000 | 001 | TFFF
023 | JC   | 000 | 031 | 001 | 005 | 000 | 001 | TFFF
025 | JN   | 000 | 031 | 001 | 005 | 000 | 001 | TFFF
027 | JO   | 000 | 031 | 001 | 005 | 000 | 001 | TFFF
029 | ADD  | 113 | --- | 001 | 006 | 000 | 001 | FFFF
02A | ADD  | 213 | --- | 001 | 006 | 007 | 001 | FFFF
02B | JZ   | 000 | 02F | 001 | 006 | 007 | 001 | FFFF
02D | JMP  | 000 | 020 | 001 | 006 | 007 | 001 | FFFF
020 | REA  | 210 | --- | 001 | 006 | 000 | 001 | TFFF
021 | JNZ  | 000 | 031 | 001 | 006 | 000 | 001 | TFFF
023 | JC   | 000 | 031 | 001 | 006 | 000 | 001 | TFFF
025 | JN   | 000 | 031 | 001 | 006 | 000 | 001 | TFFF
027 | JO   | 000 | 031 | 001 | 006 | 000 | 001 | TFFF
029 | ADD  | 113 | --- | 001 | 007 | 000 | 001 | FFFF
02A | ADD  | 213 | --- | 001 | 007 | 008 | 001 | FFFF
02B | JZ   | 000 | 02F | 001 | 007 | 008 | 001 | FFFF
02D | JMP  | 000 | 020 | 001 | 007 | 008 | 001 | FFFF
020 | REA  | 210 | --- | 001 | 007 | 000 | 001 | TFFF
021 | JNZ  | 000 | 031 | 001 | 007 | 000 | 001 | TFFF
023 | JC   | 000 | 031 | 001 | 007 | 000 | 001 | TFFF
025 | JN   | 000 | 031 | 001 | 007 | 000 | 001 | TFFF
027 | JO   | 000 | 031 | 001 | 007 | 000 | 001 | TFFF
029 | ADD  | 113 | --- | 001 | 008 | 000 | 001 | FFFF
02A | ADD  | 213 | --- | 001 | 008 | 009 | 001 | FFFF
02B | JZ   | 000 | 02F | 001 | 008 | 009 | 001 | FFFF
02D | JMP  | 000 | 020 | 001 | 008 | 009 | 001 | FFFF
020 | REA  | 210 | --- | 001 | 008 | 000 | 001 | TFFF
021 | JNZ  | 000 | 031 | 001 | 008 | 000 | 001 | TFFF
023 | JC   | 000 | 031 | 001 | 008 | 000 | 001 | TFFF
025 | JN   | 000 | 031 | 001 | 008 | 000 | 001 | TFFF
027 | JO   | 000 | 031 | 001 | 008 | 000 | 001 | TFFF
029 | ADD  | 113 | --- | 001 | 009 | 000 | 001 | FFFF
02A | ADD  | 213 | --- | 001 | 009 | 00A | 001 | FFFF
02B | JZ   | 000 | 02F | 001 | 009 | 00A | 001 | FFFF
02D | JMP  | 000 | 020 | 001 | 009 | 00A | 001 | FFFF
020 | REA  | 210 | --- | 001 | 009 | 000 | 001 | TFFF
021 | JNZ  | 000 | 031 | 001 | 009 | 000 | 001 | TFFF
023 | JC   | 000 | 031 | 001 | 009 | 000 | 001 | TFFF
