PC  | CMD  | XYZ | P   | R0  | R1  | R2  | R3  | ZCNO
-----------------------------------------------------
000 | LDC  | 000 | 000 | 000 | 000 | 000 | 000 | TFFF
002 | LDC  | 100 | 000 | 000 | 000 | 000 | 000 | TFFF
004 | LDC  | 200 | 000 | 000 | 000 | 000 | 000 | TFFF
006 | SUB  | 001 | --- | 000 | 000 | 000 | 000 | TFFF
007 | JNZ  | 000 | 0E4 | 000 | 000 | 000 | 000 | TFFF
009 | JC   | 000 | 0E4 | 000 | 000 | 000 | 000 | TFFF
00B | JN   | 000 | 0E4 | 000 | 000 | 000 | 000 | TFFF
00D | JO   | 000 | 0E4 | 000 | 000 | 000 | 000 | TFFF
00F | SUB  | 002 | --- | 000 | 000 | 000 | 000 | TFFF
010 | JNZ  | 000 | 0E4 | 000 | 000 | 000 | 000 | TFFF
012 | LDC  | 000 | 001 | 001 | 000 | 000 | 000 | FFFF
014 | LDC  | 100 | 000 | 001 | 000 | 000 | 000 | TFFF
016 | LDC  | 200 | 001 | 001 | 000 | 001 | 000 | FFFF
018 | SUB  | 001 | --- | 001 | 000 | 001 | 000 | FFFF
019 | JZ   | 000 | 0E4 | 001 | 000 | 001 | 000 | FFFF
01B | JC   | 000 | 0E4 | 001 | 000 | 001 | 000 | FFFF
01D | JN   | 000 | 0E4 | 001 | 000 | 001 | 000 | FFFF
01F | JO   | 000 | 0E4 | 001 | 000 | 001 | 000 | FFFF
021 | SUB  | 002 | --- | 000 | 000 | 001 | 000 | TTFF
022 | JNZ  | 000 | 0E4 | 000 | 000 | 001 | 000 | TTFF
024 | LDC  | 000 | FFF | FFF | 000 | 001 | 000 | FTTF
026 | LDC  | 100 | 000 | FFF | 000 | 001 | 000 | TTFF
028 | LDC  | 200 | FFF | FFF | 000 | FFF | 000 | FTTF
02A | SUB  | 001 | --- | FFF | 000 | FFF | 000 | FFTF
02B | JZ   | 000 | 0E4 | FFF | 000 | FFF | 000 | FFTF
02D | JC   | 000 | 0E4 | FFF | 000 | FFF | 000 | FFTF
02F | JNN  | 000 | 0E4 | FFF | 000 | FFF | 000 | FFTF
031 | JO   | 000 | 0E4 | FFF | 000 | FFF | 000 | FFTF
033 | SUB  | 002 | --- | 000 | 000 | FFF | 000 | TTFF
034 | JNZ  | 000 | 0E4 | 000 | 000 | FFF | 000 | TTFF
036 | LDC  | 000 | 7FF | 7FF | 000 | FFF | 000 | FTFF
038 | LDC  | 100 | 000 | 7FF | 000 | FFF | 000 | TTFF
